region,product,year,rev_op_type,sales_budget_type,total,h1,h2,q1,q2,q3,q4,ytd
AZ,CDE,2024,Gross,Actual,6087904672,3048385165,3039519507,2608445044,439940121,2606229171,433290336,3048385165
AZ,CDE,2024,Gross,Budget,7428371116,4087371532,3340999584,2569835676,1517535856,2361861458,979138126,4087371532
AZ,CDE,2024,Gross,Forecast,4203374887,2489003330,1714371557,1411450986,1077552344,693022680,1021348877,2489003330
AZ,CDE,2024,Net,Actual,6619487565,2709591008,3909896557,1799617964,909973044,2888729189,1021167368,2709591008
AZ,CDE,2024,Net,Budget,5617825054,2430309843,3187515211,802224008,1628085835,2553074707,634440504,2430309843
AZ,CDE,2024,Net,Forecast,3477362048,1351721478,2125640570,334836208,1016885270,1849994583,275645987,1351721478
AZ,CDE,2024,Op,Actual,4622722407,3617403984,1005318423,1324939271,2292464713,818122170,187196253,3617403984
AZ,CDE,2024,Op,Budget,7125445594,3254141489,3871304105,1254058051,2000083438,2963231769,908072336,3254141489
AZ,CDE,2024,Op,Forecast,3653514539,1988441631,1665072908,1326087747,662353884,1411805673,253267235,1988441631
AZ,CDE,2025,Gross,Actual,4024424362,2272050138,1752374224,648703005,1623347133,822916225,929457999,2272050138
AZ,CDE,2025,Gross,Budget,6216083094,2599115245,3616967849,863561285,1735553960,2557053588,1059914261,2599115245
AZ,CDE,2025,Gross,Forecast,5877736872,3250949078,2626787794,1372464101,1878484977,2430123900,196663894,3250949078
AZ,CDE,2025,Net,Actual,4399975576,2842833424,1557142152,1660212122,1182621302,1387044834,170097318,2842833424
AZ,CDE,2025,Net,Budget,3757879172,3102053603,655825569,894534649,2207518954,493104195,162721374,3102053603
AZ,CDE,2025,Net,Forecast,6536764521,2940521976,3596242545,779788101,2160733875,2842106184,754136361,2940521976
AZ,CDE,2025,Op,Actual,7077775676,4681354434,2396421242,2390647352,2290707082,1250390121,1146031121,4681354434
AZ,CDE,2025,Op,Budget,6056657723,2583095736,3473561987,2014193920,568901816,2489963023,983598964,2583095736
AZ,CDE,2025,Op,Forecast,5339867434,2563789286,2776078148,1563430748,1000358538,2319047219,457030929,2563789286
AZ,PJ,2024,Gross,Actual,4875418396,2990745874,1884672522,1356905362,1633840512,1193755848,690916674,2990745874
AZ,PJ,2024,Gross,Budget,3695621176,1483082001,2212539175,1148726874,334355127,1741669792,470869383,1483082001
AZ,PJ,2024,Gross,Forecast,5322647226,3416928838,1905718388,1266733900,2150194938,1613866929,291851459,3416928838
AZ,PJ,2024,Net,Actual,6390616337,3339554268,3051062069,1225454594,2114099674,2765079280,285982789,3339554268
AZ,PJ,2024,Net,Budget,5808439306,3254605871,2553833435,2273925454,980680417,2210117702,343715733,3254605871
AZ,PJ,2024,Net,Forecast,3040539255,1345009948,1695529307,160263897,1184746051,1335919929,359609378,1345009948
AZ,PJ,2024,Op,Actual,3880968285,2563674281,1317294004,1104165762,1459508519,299088154,1018205850,2563674281
AZ,PJ,2024,Op,Budget,5537821656,2134554902,3403266754,753717691,1380837211,2817992103,585274651,2134554902
AZ,PJ,2024,Op,Forecast,7033082417,3765307204,3267775213,2458584827,1306722377,2830932102,436843111,3765307204
AZ,PJ,2025,Gross,Actual,7530733300,4133128800,3397604500,2308410000,1824718800,2481181600,916422900,4133128800
AZ,PJ,2025,Gross,Budget,4928124551,2851969201,2076155350,1415065264,1436903937,1299409186,776746164,2851969201
AZ,PJ,2025,Gross,Forecast,5408988308,1704295268,3704693040,1236242662,468052606,2668177010,1036516030,1704295268
AZ,PJ,2025,Net,Actual,6972626600,3750185600,3222441000,2050950000,1699235600,2376957000,845484000,3750185600
AZ,PJ,2025,Net,Budget,4286140534,2423536485,1862604049,1655584212,767952273,963539822,899064227,2423536485
AZ,PJ,2025,Net,Forecast,4429887658,2510462380,1919425278,268615364,2241847016,1079646110,839779168,2510462380
AZ,PJ,2025,Op,Actual,6972626600,3750185600,3222441000,2050950000,1699235600,2376957000,845484000,3750185600
AZ,PJ,2025,Op,Budget,6482161923,3231563506,3250598417,1940198518,1291364988,2076035378,1174563039,3231563506
AZ,PJ,2025,Op,Forecast,3561217434,1833088207,1728129227,1144277613,688810594,1500051113,228078114,1833088207
BD+,CDE,2024,Gross,Actual,18357091757,7369024919,10988066838,1969980303,5399044616,4287227353,6700839485,7369024919
BD+,CDE,2024,Gross,Budget,14829398661,8288608105,6540790556,2027827128,6260780977,3255266627,3285523929,8288608105
BD+,CDE,2024,Gross,Forecast,14762618803,10050659396,4711959407,2103547695,7947111701,4102136260,609823147,10050659396
BD+,CDE,2024,Net,Actual,17093862818,9155569203,7938293615,2096415774,7059153429,3396901654,4541391961,9155569203
BD+,CDE,2024,Net,Budget,17022952280,9595432852,7427519428,1997559492,7597873360,4205480117,3222039311,9595432852
BD+,CDE,2024,Net,Forecast,9999024015,3633191622,6365832393,1611419372,2021772250,1769186893,4596645500,3633191622
BD+,CDE,2024,Op,Actual,26313642322,13237143809,13076498513,1856404530,11380739279,3822263740,9254234773,13237143809
BD+,CDE,2024,Op,Budget,18586765794,8423398733,10163367061,2490471938,5932926795,4669890524,5493476537,8423398733
BD+,CDE,2024,Op,Forecast,13410020947,4454327515,8955693432,1381391000,3072936515,4899406274,4056287158,4454327515
BD+,CDE,2025,Gross,Actual,19831648495,8441197286,11390451209,1132908633,7308288653,2105466013,9284985196,8441197286
BD+,CDE,2025,Gross,Budget,16300562446,7469157495,8831404951,1016995482,6452162013,2484593089,6346811862,7469157495
BD+,CDE,2025,Gross,Forecast,14641502515,8020322378,6621180137,1062939015,6957383363,2089490024,4531690113,8020322378
BD+,CDE,2025,Net,Actual,14185290560,5670118686,8515171874,2427647986,3242470700,3746346852,4768825022,5670118686
BD+,CDE,2025,Net,Budget,23075125034,11899958417,11175166617,1248550700,10651407717,6378262046,4796904571,11899958417
BD+,CDE,2025,Net,Forecast,15518313151,6174243881,9344069270,1598947570,4575296311,4157686489,5186382781,6174243881
BD+,CDE,2025,Op,Actual,16701822429,10954077444,5747744985,1037669079,9916408365,3244600522,2503144463,10954077444
BD+,CDE,2025,Op,Budget,22409120674,15225415087,7183705587,1956774503,13268640584,2805393637,4378311950,15225415087
BD+,CDE,2025,Op,Forecast,11410326972,5009156907,6401170065,1022358622,3986798285,2291023855,4110146210,5009156907
BD+,PJ,2024,Gross,Actual,18632941895,7811298259,10821643636,1395159613,6416138646,4194417605,6627226031,7811298259
BD+,PJ,2024,Gross,Budget,21428064824,11684551467,9743513357,2635495276,9049056191,5217225228,4526288129,11684551467
BD+,PJ,2024,Gross,Forecast,17340609562,12429050521,4911559041,2274428956,10154621565,1491804103,3419754938,12429050521
BD+,PJ,2024,Net,Actual,22262759771,12994144395,9268615376,1718023886,11276120509,4198435074,5070180302,12994144395
BD+,PJ,2024,Net,Budget,16272287050,3850448769,12421838281,1169835771,2680612998,5384220334,7037617947,3850448769
BD+,PJ,2024,Net,Forecast,17504805837,8589802699,8915003138,1275379784,7314422915,3223338609,5691664529,8589802699
BD+,PJ,2024,Op,Actual,14321724750,9475829524,4845895226,520576125,8955253399,3348322225,1497573001,9475829524
BD+,PJ,2024,Op,Budget,18229746208,10752853870,7476892338,564101909,10188751961,3042286017,4434606321,10752853870
BD+,PJ,2024,Op,Forecast,16680360901,9247098333,7433262568,2026576420,7220521913,5433971309,1999291259,9247098333
BD+,PJ,2025,Gross,Actual,23050406700,11570983300,11479423400,2174890000,9396093300,4692610500,6786812900,11570983300
BD+,PJ,2025,Gross,Budget,19838726680,11373276614,8465450066,1005260078,10368016536,6322356014,2143094052,11373276614
BD+,PJ,2025,Gross,Forecast,12007065891,5135022548,6872043343,1072161664,4062860884,4975918636,1896124707,5135022548
BD+,PJ,2025,Net,Actual,22640853700,11333015800,11307837900,2116750000,9216265800,4625815500,6682022400,11333015800
BD+,PJ,2025,Net,Budget,12472362262,4463663380,8008698882,2105054299,2358609081,2398963943,5609734939,4463663380
BD+,PJ,2025,Net,Forecast,20686798919,9974295630,10712503289,1544543524,8429752106,3231967262,7480536027,9974295630
BD+,PJ,2025,Op,Actual,22640853700,11333015800,11307837900,2116750000,9216265800,4625815500,6682022400,11333015800
BD+,PJ,2025,Op,Budget,24757645956,14318430442,10439215514,1676348529,12642081913,5651002115,4788213399,14318430442
BD+,PJ,2025,Op,Forecast,22482874141,14767043915,7715830226,2240497211,12526546704,5340523075,2375307151,14767043915
CE,CDE,2024,Gross,Actual,28129639058,10838799857,17290839201,5542725753,5296074104,8444784164,8846055037,10838799857
CE,CDE,2024,Gross,Budget,26339067675,7078278678,19260788997,2277961259,4800317419,8879246486,10381542511,7078278678
CE,CDE,2024,Gross,Forecast,25641948758,8508511304,17133437454,5203932238,3304579066,12035980505,5097456949,8508511304
CE,CDE,2024,Net,Actual,18346966513,6163357999,12183608514,3395732018,2767625981,6153224942,6030383572,6163357999
CE,CDE,2024,Net,Budget,27471806864,11181013537,16290793327,8590713062,2590300475,9546435872,6744357455,11181013537
CE,CDE,2024,Net,Forecast,18292044648,8129693184,10162351464,4418079684,3711613500,3309786352,6852565112,8129693184
CE,CDE,2024,Op,Actual,26519792174,13975541432,12544250742,7403188121,6572353311,5717135604,6827115138,13975541432
CE,CDE,2024,Op,Budget,16343380220,5920432354,10422947866,2650834730,3269597624,4457820348,5965127518,5920432354
CE,CDE,2024,Op,Forecast,23956609626,8831333879,15125275747,3617027238,5214306641,7235963314,7889312433,8831333879
CE,CDE,2025,Gross,Actual,28969275780,9449449086,19519826694,6691288302,2758160784,5890053467,13629773227,9449449086
CE,CDE,2025,Gross,Budget,28242978606,10884578115,17358400491,5555319086,5329259029,5992775772,11365624719,10884578115
CE,CDE,2025,Gross,Forecast,15937493936,7379552284,8557941652,2821004216,4558548068,3866040501,4691901151,7379552284
CE,CDE,2025,Net,Actual,29146576073,10165014673,18981561400,6260036745,3904977928,9706413628,9275147772,10165014673
CE,CDE,2025,Net,Budget,24068468924,9709249928,14359218996,5706795772,4002454156,6693031296,7666187700,9709249928
CE,CDE,2025,Net,Forecast,21514316962,9419368311,12094948651,5647204315,3772163996,4781737058,7313211593,9419368311
CE,CDE,2025,Op,Actual,22331633372,10794293372,11537340000,6546977546,4247315826,4739087853,6798252147,10794293372
CE,CDE,2025,Op,Budget,15619320515,8083163288,7536157227,4630134249,3453029039,5428473725,2107683502,8083163288
CE,CDE,2025,Op,Forecast,19434347649,11139679325,8294668324,5936842251,5202837074,5479776671,2814891653,11139679325
CE,PJ,2024,Gross,Actual,20164723434,10963623546,9201099888,3024531172,7939092374,5337117899,3863981989,10963623546
CE,PJ,2024,Gross,Budget,23743430180,7609225899,16134204281,2729456360,4879769539,3171396346,12962807935,7609225899
CE,PJ,2024,Gross,Forecast,20423621141,6734438706,13689182435,2279266588,4455172118,7307925595,6381256840,6734438706
CE,PJ,2024,Net,Actual,15173322554,5712003498,9461319056,2047553617,3664449881,3752047431,5709271625,5712003498
CE,PJ,2024,Net,Budget,22106249168,7044547268,15061701900,3405589747,3638957521,8106806438,6954895462,7044547268
CE,PJ,2024,Net,Forecast,16800640081,8590931820,8209708261,4491405162,4099526658,4280567981,3929140280,8590931820
CE,PJ,2024,Op,Actual,19287537277,5456487801,13831049476,1931969805,3524517996,8703215463,5127834013,5456487801
CE,PJ,2024,Op,Budget,25299659671,8654877483,16644782188,6875114969,1779762514,8230971648,8413810540,8654877483
CE,PJ,2024,Op,Forecast,17065672684,9621044337,7444628347,5589630505,4031413832,2856858750,4587769597,9621044337
CE,PJ,2025,Gross,Actual,33887370000,12434940000,21452430000,6728220000,5706720000,10235860000,11216570000,12434940000
CE,PJ,2025,Gross,Budget,28749239941,8258500000,20490739941,4943978125,3314521875,8174046322,12316693619,8258500000
CE,PJ,2025,Gross,Forecast,21917186993,10889282627,11027904366,5411848821,5477433806,6066208780,4961695586,10889282627
CE,PJ,2025,Net,Actual,30281910000,12431280000,17850630000,6763840000,5667440000,8456450000,9394180000,12431280000
CE,PJ,2025,Net,Budget,19882999838,10951704117,8931295721,5359197589,5592506528,2737697409,6193598312,10951704117
CE,PJ,2025,Net,Forecast,17547145667,9441260167,8105885500,5390560816,4050699351,4393591782,3712293718,9441260167
CE,PJ,2025,Op,Actual,30281910000,12431280000,17850630000,6763840000,5667440000,8456450000,9394180000,12431280000
CE,PJ,2025,Op,Budget,27998492405,10321661355,17676831050,6714481910,3607179445,8960396753,8716434297,10321661355
CE,PJ,2025,Op,Forecast,24582217698,9462951609,15119266089,3221935829,6241015780,4949801015,10169465074,9462951609
CH,CDE,2024,Gross,Actual,3021136039,926350277,2094785762,424967841,501382436,824405982,1270379780,926350277
CH,CDE,2024,Gross,Budget,2607818165,1283087607,1324730558,704719869,578367738,718095415,606635143,1283087607
