region,product,year,rev_op_type,sales_budget_type,ytd_gap,budget_hit_rate,yoy_total,yoy_h1,yoy_h2,yoy_q1,yoy_q2,yoy_q3,yoy_q4,breakeven_month
AZ,CDE,2024,Gross,Actual,-1038986367,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AZ,CDE,2024,Gross,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2024,Gross,Forecast,-1598368202,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2024,Net,Actual,279281165,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AZ,CDE,2024,Net,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2024,Net,Forecast,-1078588365,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2024,Op,Actual,363262495,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AZ,CDE,2024,Op,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2024,Op,Forecast,-1265699858,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,CDE,2025,Gross,Actual,-327065107,87,0.6611,0.7453,0.5765,0.2487,3.6899,0.3157,2.1451,
AZ,CDE,2025,Gross,Budget,0,100,0.8368,0.6359,1.0826,0.336,1.1437,1.0826,1.0825,
AZ,CDE,2025,Gross,Forecast,651833833,125,1.3983,1.3061,1.5322,0.9724,1.7433,3.5066,0.1926,
AZ,CDE,2025,Net,Actual,-259220179,92,0.6647,1.0492,0.3983,0.9225,1.2996,0.4802,0.1666,1.0
AZ,CDE,2025,Net,Budget,0,100,0.6689,1.2764,0.2057,1.1151,1.3559,0.1931,0.2565,
AZ,CDE,2025,Net,Forecast,-161531627,95,1.8798,2.1754,1.6918,2.3289,2.1249,1.5363,2.7359,
AZ,CDE,2025,Op,Actual,2098258698,181,1.5311,1.2941,2.3837,1.8043,0.9992,1.5284,6.1221,1.0
AZ,CDE,2025,Op,Budget,0,100,0.85,0.7938,0.8973,1.6061,0.2844,0.8403,1.0832,
AZ,CDE,2025,Op,Forecast,-19306450,99,1.4616,1.2893,1.6672,1.179,1.5103,1.6426,1.8045,
AZ,PJ,2024,Gross,Actual,1507663873,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
AZ,PJ,2024,Gross,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,PJ,2024,Gross,Forecast,1933846837,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,PJ,2024,Net,Actual,84948397,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
AZ,PJ,2024,Net,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,PJ,2024,Net,Forecast,-1909595923,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,PJ,2024,Op,Actual,429119379,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AZ,PJ,2024,Op,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,PJ,2024,Op,Forecast,1630752302,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZ,PJ,2025,Gross,Actual,1281159599,145,1.5446,1.382,1.8028,1.7012,1.1168,2.0785,1.3264,1.0
AZ,PJ,2025,Gross,Budget,0,100,1.3335,1.923,0.9384,1.2319,4.2975,0.7461,1.6496,
AZ,PJ,2025,Gross,Forecast,-1147673933,60,1.0162,0.4988,1.944,0.9759,0.2177,1.6533,3.5515,
AZ,PJ,2025,Net,Actual,1326649115,155,1.0911,1.123,1.0562,1.6736,0.8038,0.8596,2.9564,3.0
AZ,PJ,2025,Net,Budget,0,100,0.7379,0.7446,0.7293,0.7281,0.7831,0.436,2.6157,
AZ,PJ,2025,Net,Forecast,86925895,104,1.4569,1.8665,1.1321,1.6761,1.8923,0.8082,2.3353,
AZ,PJ,2025,Op,Actual,518622094,116,1.7966,1.4628,2.4463,1.8575,1.1643,7.9473,0.8304,1.0
AZ,PJ,2025,Op,Budget,0,100,1.1705,1.5139,0.9551,2.5742,0.9352,0.7367,2.0069,
AZ,PJ,2025,Op,Forecast,-1398475299,57,0.5064,0.4868,0.5288,0.4654,0.5271,0.5299,0.5221,
BD+,CDE,2024,Gross,Actual,-919583186,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
BD+,CDE,2024,Gross,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BD+,CDE,2024,Gross,Forecast,1762051291,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BD+,CDE,2024,Net,Actual,-439863649,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
BD+,CDE,2024,Net,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BD+,CDE,2024,Net,Forecast,-5962241230,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BD+,CDE,2024,Op,Actual,4813745076,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BD+,CDE,2024,Op,Budget,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BD+,CDE,2024,Op,Forecast,-3969071218,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BD+,CDE,2025,Gross,Actual,972039791,113,1.0803,1.1455,1.0366,0.5751,1.3536,0.4911,1.3856,1.0
BD+,CDE,2025,Gross,Budget,0,100,1.0992,0.9011,1.3502,0.5015,1.0306,0.7633,1.9318,
BD+,CDE,2025,Gross,Forecast,551164883,107,0.9918,0.798,1.4052,0.5053,0.8755,0.5094,7.4312,
BD+,CDE,2025,Net,Actual,-6229839731,48,0.8298,0.6193,1.0727,1.158,0.4593,1.1029,1.0501,1.0
BD+,CDE,2025,Net,Budget,0,100,1.3555,1.2402,1.5046,0.625,1.4019,1.5167,1.4888,
BD+,CDE,2025,Net,Forecast,-5725714536,52,1.552,1.6994,1.4678,0.9923,2.263,2.3501,1.1283,
