product,year,rev_op_type,sales_budget_type,region,total,ytd,ytd_gap,rank_total,rank_ytd_gap,share_pct
CDE,2024,Gross,Actual,AZ,6087904672,3048385165,-1038986367,28,11,0.26
CDE,2024,Gross,Budget,AZ,7428371116,4087371532,0,25,1,0.32
CDE,2024,Gross,Forecast,AZ,4203374887,2489003330,-1598368202,29,10,0.19
CDE,2024,Net,Actual,AZ,6619487565,2709591008,279281165,27,16,0.26
CDE,2024,Net,Budget,AZ,5617825054,2430309843,0,27,1,0.23
CDE,2024,Net,Forecast,AZ,3477362048,1351721478,-1078588365,32,8,0.14
CDE,2024,Op,Actual,AZ,4622722407,3617403984,363262495,30,17,0.19
CDE,2024,Op,Budget,AZ,7125445594,3254141489,0,26,1,0.3
CDE,2024,Op,Forecast,AZ,3653514539,1988441631,-1265699858,31,9,0.16
CDE,2025,Gross,Actual,AZ,4024424362,2272050138,-327065107,31,14,0.22
CDE,2025,Gross,Budget,AZ,6216083094,2599115245,0,27,1,0.25
CDE,2025,Gross,Forecast,AZ,5877736872,3250949078,651833833,27,23,0.29
CDE,2025,Net,Actual,AZ,4399975576,2842833424,-259220179,30,19,0.19
CDE,2025,Net,Budget,AZ,3757879172,3102053603,0,30,1,0.15
CDE,2025,Net,Forecast,AZ,6536764521,2940521976,-161531627,28,21,0.3
CDE,2025,Op,Actual,AZ,7077775676,4681354434,2098258698,24,25,0.31
CDE,2025,Op,Budget,AZ,6056657723,2583095736,0,28,1,0.24
CDE,2025,Op,Forecast,AZ,5339867434,2563789286,-19306450,29,20,0.21
PJ,2024,Gross,Actual,AZ,4875418396,2990745874,1507663873,28,23,0.21
PJ,2024,Gross,Budget,AZ,3695621176,1483082001,0,29,1,0.16
PJ,2024,Gross,Forecast,AZ,5322647226,3416928838,1933846837,29,28,0.24
PJ,2024,Net,Actual,AZ,6390616337,3339554268,84948397,27,19,0.26
PJ,2024,Net,Budget,AZ,5808439306,3254605871,0,27,1,0.23
PJ,2024,Net,Forecast,AZ,3040539255,1345009948,-1909595923,32,5,0.12
PJ,2024,Op,Actual,AZ,3880968285,2563674281,429119379,32,25,0.15
PJ,2024,Op,Budget,AZ,5537821656,2134554902,0,29,1,0.23
PJ,2024,Op,Forecast,AZ,7033082417,3765307204,1630752302,26,24,0.27
PJ,2025,Gross,Actual,AZ,7530733300,4133128800,1281159599,26,12,0.25
PJ,2025,Gross,Budget,AZ,4928124551,2851969201,0,27,1,0.24
PJ,2025,Gross,Forecast,AZ,5408988308,1704295268,-1147673933,29,10,0.24
PJ,2025,Net,Actual,AZ,6972626600,3750185600,1326649115,27,13,0.21
PJ,2025,Net,Budget,AZ,4286140534,2423536485,0,29,1,0.18
PJ,2025,Net,Forecast,AZ,4429887658,2510462380,86925895,30,18,0.19
PJ,2025,Op,Actual,AZ,6972626600,3750185600,518622094,27,9,0.21
PJ,2025,Op,Budget,AZ,6482161923,3231563506,0,26,1,0.23
PJ,2025,Op,Forecast,AZ,3561217434,1833088207,-1398475299,30,13,0.14
CDE,2024,Gross,Actual,BD+,18357091757,7369024919,-919583186,18,12,0.8
CDE,2024,Gross,Budget,BD+,14829398661,8288608105,0,19,1,0.63
CDE,2024,Gross,Forecast,BD+,14762618803,10050659396,1762051291,19,26,0.68
CDE,2024,Net,Actual,BD+,17093862818,9155569203,-439863649,18,11,0.68
CDE,2024,Net,Budget,BD+,17022952280,9595432852,0,19,1,0.7
CDE,2024,Net,Forecast,BD+,9999024015,3633191622,-5962241230,21,5,0.41
CDE,2024,Op,Actual,BD+,26313642322,13237143809,4813745076,15,26,1.09
CDE,2024,Op,Budget,BD+,18586765794,8423398733,0,17,1,0.78
CDE,2024,Op,Forecast,BD+,13410020947,4454327515,-3969071218,20,5,0.61
CDE,2025,Gross,Actual,BD+,19831648495,8441197286,972039791,18,24,1.07
CDE,2025,Gross,Budget,BD+,16300562446,7469157495,0,18,1,0.66
CDE,2025,Gross,Forecast,BD+,14641502515,8020322378,551164883,19,22,0.73
CDE,2025,Net,Actual,BD+,14185290560,5670118686,-6229839731,19,7,0.6
CDE,2025,Net,Budget,BD+,23075125034,11899958417,0,17,1,0.95
CDE,2025,Net,Forecast,BD+,15518313151,6174243881,-5725714536,19,7,0.7
CDE,2025,Op,Actual,BD+,16701822429,10954077444,-4271337643,18,6,0.73
CDE,2025,Op,Budget,BD+,22409120674,15225415087,0,16,1,0.91
CDE,2025,Op,Forecast,BD+,11410326972,5009156907,-10216258180,19,3,0.46
PJ,2024,Gross,Actual,BD+,18632941895,7811298259,-3873253208,18,7,0.81
PJ,2024,Gross,Budget,BD+,21428064824,11684551467,0,18,1,0.9
PJ,2024,Gross,Forecast,BD+,17340609562,12429050521,744499054,18,23,0.79
PJ,2024,Net,Actual,BD+,22262759771,12994144395,9143695626,15,32,0.89
PJ,2024,Net,Budget,BD+,16272287050,3850448769,0,19,1,0.64
PJ,2024,Net,Forecast,BD+,17504805837,8589802699,4739353930,18,28,0.7
PJ,2024,Op,Actual,BD+,14321724750,9475829524,-1277024346,19,16,0.55
PJ,2024,Op,Budget,BD+,18229746208,10752853870,0,19,1,0.75
PJ,2024,Op,Forecast,BD+,16680360901,9247098333,-1505755537,19,11,0.65
PJ,2025,Gross,Actual,BD+,23050406700,11570983300,197706686,16,5,0.77
PJ,2025,Gross,Budget,BD+,19838726680,11373276614,0,16,1,0.98
PJ,2025,Gross,Forecast,BD+,12007065891,5135022548,-6238254066,19,3,0.53
PJ,2025,Net,Actual,BD+,22640853700,11333015800,6869352420,16,23,0.68
PJ,2025,Net,Budget,BD+,12472362262,4463663380,0,20,1,0.54
PJ,2025,Net,Forecast,BD+,20686798919,9974295630,5510632250,16,30,0.87
PJ,2025,Op,Actual,BD+,22640853700,11333015800,-2985414642,16,2,0.68
PJ,2025,Op,Budget,BD+,24757645956,14318430442,0,17,1,0.89
PJ,2025,Op,Forecast,BD+,22482874141,14767043915,448613473,18,22,0.92
CDE,2024,Gross,Actual,CE,28129639058,10838799857,3760521179,15,29,1.22
CDE,2024,Gross,Budget,CE,26339067675,7078278678,0,15,1,1.12
CDE,2024,Gross,Forecast,CE,25641948758,8508511304,1430232626,14,24,1.17
CDE,2024,Net,Actual,CE,18346966513,6163357999,-5017655538,17,5,0.73
CDE,2024,Net,Budget,CE,27471806864,11181013537,0,13,1,1.14
CDE,2024,Net,Forecast,CE,18292044648,8129693184,-3051320353,17,6,0.74
CDE,2024,Op,Actual,CE,26519792174,13975541432,8055109078,14,28,1.1
CDE,2024,Op,Budget,CE,16343380220,5920432354,0,18,1,0.69
CDE,2024,Op,Forecast,CE,23956609626,8831333879,2910901525,16,27,1.08
CDE,2025,Gross,Actual,CE,28969275780,9449449086,-1435129029,12,10,1.57
CDE,2025,Gross,Budget,CE,28242978606,10884578115,0,13,1,1.14
CDE,2025,Gross,Forecast,CE,15937493936,7379552284,-3505025831,18,6,0.79
CDE,2025,Net,Actual,CE,29146576073,10165014673,455764745,12,26,1.24
CDE,2025,Net,Budget,CE,24068468924,9709249928,0,16,1,0.99
CDE,2025,Net,Forecast,CE,21514316962,9419368311,-289881617,17,18,0.97
CDE,2025,Op,Actual,CE,22331633372,10794293372,2711130084,16,27,0.98
CDE,2025,Op,Budget,CE,15619320515,8083163288,0,20,1,0.63
CDE,2025,Op,Forecast,CE,19434347649,11139679325,3056516037,16,28,0.78
