region,product,year,rev_op_type,sales_budget_type,month,amount,mom_growth,vs_budget,seasonal_index
AZ,CDE,2024,Gross,Actual,Jan,1019835217,,343007547,0.1675
AZ,CDE,2024,Gross,Actual,Feb,10251675,0.0101,-29135264,0.0017
AZ,CDE,2024,Gross,Actual,Mar,1578358152,153.961,-275262915,0.2593
AZ,CDE,2024,Gross,Actual,Apr,81035550,0.0513,47046940,0.0133
AZ,CDE,2024,Gross,Actual,May,335862462,4.1446,-711152405,0.0552
AZ,CDE,2024,Gross,Actual,Jun,23042109,0.0686,-413490270,0.0038
AZ,CDE,2024,Gross,Actual,Jul,906939403,39.3601,813143519,0.149
AZ,CDE,2024,Gross,Actual,Aug,162210573,0.1789,2723918,0.0266
AZ,CDE,2024,Gross,Actual,Sep,1537079195,9.4758,-571499724,0.2525
AZ,CDE,2024,Gross,Actual,Oct,139908592,0.091,82510261,0.023
AZ,CDE,2024,Gross,Actual,Nov,268899939,1.922,-649221203,0.0442
AZ,CDE,2024,Gross,Actual,Dec,24481805,0.091,20863152,0.004
AZ,CDE,2024,Gross,Budget,Jan,676827670,,0,0.0911
AZ,CDE,2024,Gross,Budget,Feb,39386939,0.0582,0,0.0053
AZ,CDE,2024,Gross,Budget,Mar,1853621067,47.0618,0,0.2495
AZ,CDE,2024,Gross,Budget,Apr,33988610,0.0183,0,0.0046
AZ,CDE,2024,Gross,Budget,May,1047014867,30.8049,0,0.1409
AZ,CDE,2024,Gross,Budget,Jun,436532379,0.4169,0,0.0588
AZ,CDE,2024,Gross,Budget,Jul,93795884,0.2149,0,0.0126
AZ,CDE,2024,Gross,Budget,Aug,159486655,1.7004,0,0.0215
AZ,CDE,2024,Gross,Budget,Sep,2108578919,13.221,0,0.2839
AZ,CDE,2024,Gross,Budget,Oct,57398331,0.0272,0,0.0077
AZ,CDE,2024,Gross,Budget,Nov,918121142,15.9956,0,0.1236
AZ,CDE,2024,Gross,Budget,Dec,3618653,0.0039,0,0.0005
AZ,CDE,2024,Gross,Forecast,Jan,735165159,,58337489,0.1749
AZ,CDE,2024,Gross,Forecast,Feb,73700510,0.1003,34313571,0.0175
AZ,CDE,2024,Gross,Forecast,Mar,602585317,8.1761,-1251035750,0.1434
AZ,CDE,2024,Gross,Forecast,Apr,148040692,0.2457,114052082,0.0352
AZ,CDE,2024,Gross,Forecast,May,821035493,5.546,-225979374,0.1953
AZ,CDE,2024,Gross,Forecast,Jun,108476159,0.1321,-328056220,0.0258
AZ,CDE,2024,Gross,Forecast,Jul,249961810,2.3043,156165926,0.0595
AZ,CDE,2024,Gross,Forecast,Aug,140161784,0.5607,-19324871,0.0333
AZ,CDE,2024,Gross,Forecast,Sep,302899086,2.1611,-1805679833,0.0721
AZ,CDE,2024,Gross,Forecast,Oct,89713043,0.2962,32314712,0.0213
AZ,CDE,2024,Gross,Forecast,Nov,816094639,9.0967,-102026503,0.1942
AZ,CDE,2024,Gross,Forecast,Dec,115541195,0.1416,111922542,0.0275
AZ,CDE,2024,Net,Actual,Jan,983041046,,633438886,0.1485
AZ,CDE,2024,Net,Actual,Feb,62746326,0.0638,-19050564,0.0095
AZ,CDE,2024,Net,Actual,Mar,753830592,12.0139,383005634,0.1139
AZ,CDE,2024,Net,Actual,Apr,45846128,0.0608,42655342,0.0069
AZ,CDE,2024,Net,Actual,May,641281584,13.9877,-920971213,0.0969
AZ,CDE,2024,Net,Actual,Jun,222845332,0.3475,160203080,0.0337
AZ,CDE,2024,Net,Actual,Jul,523434898,2.3489,173265078,0.0791
AZ,CDE,2024,Net,Actual,Aug,64498839,0.1232,-52477807,0.0097
AZ,CDE,2024,Net,Actual,Sep,2300795452,35.6719,214867211,0.3476
AZ,CDE,2024,Net,Actual,Oct,88883548,0.0386,-11238441,0.0134
AZ,CDE,2024,Net,Actual,Nov,842176767,9.4751,402856395,0.1272
AZ,CDE,2024,Net,Actual,Dec,90107053,0.107,-4891090,0.0136
AZ,CDE,2024,Net,Budget,Jan,349602160,,0,0.0622
AZ,CDE,2024,Net,Budget,Feb,81796890,0.234,0,0.0146
AZ,CDE,2024,Net,Budget,Mar,370824958,4.5335,0,0.066
AZ,CDE,2024,Net,Budget,Apr,3190786,0.0086,0,0.0006
AZ,CDE,2024,Net,Budget,May,1562252797,489.6138,0,0.2781
AZ,CDE,2024,Net,Budget,Jun,62642252,0.0401,0,0.0112
AZ,CDE,2024,Net,Budget,Jul,350169820,5.59,0,0.0623
AZ,CDE,2024,Net,Budget,Aug,116976646,0.3341,0,0.0208
AZ,CDE,2024,Net,Budget,Sep,2085928241,17.832,0,0.3713
AZ,CDE,2024,Net,Budget,Oct,100121989,0.048,0,0.0178
AZ,CDE,2024,Net,Budget,Nov,439320372,4.3879,0,0.0782
AZ,CDE,2024,Net,Budget,Dec,94998143,0.2162,0,0.0169
AZ,CDE,2024,Net,Forecast,Jan,253232881,,-96369279,0.0728
AZ,CDE,2024,Net,Forecast,Feb,15191985,0.06,-66604905,0.0044
AZ,CDE,2024,Net,Forecast,Mar,66411342,4.3715,-304413616,0.0191
AZ,CDE,2024,Net,Forecast,Apr,41928259,0.6313,38737473,0.0121
AZ,CDE,2024,Net,Forecast,May,626637922,14.9455,-935614875,0.1802
AZ,CDE,2024,Net,Forecast,Jun,348319089,0.5559,285676837,0.1002
AZ,CDE,2024,Net,Forecast,Jul,476545589,1.3681,126375769,0.137
AZ,CDE,2024,Net,Forecast,Aug,107574,0.0002,-116869072,0.0
AZ,CDE,2024,Net,Forecast,Sep,1373341420,12766.4809,-712586821,0.3949
AZ,CDE,2024,Net,Forecast,Oct,19154536,0.0139,-80967453,0.0055
AZ,CDE,2024,Net,Forecast,Nov,186761199,9.7502,-252559173,0.0537
