product,year,region,rev_op_type,sales_budget_type,month,amount
CDE,2024,AZ,Gross,Actual,Apr,81035550
CDE,2024,AZ,Gross,Actual,Aug,162210573
CDE,2024,AZ,Gross,Actual,Dec,24481805
CDE,2024,AZ,Gross,Actual,Feb,10251675
CDE,2024,AZ,Gross,Actual,Jan,1019835217
CDE,2024,AZ,Gross,Actual,Jul,906939403
CDE,2024,AZ,Gross,Actual,Jun,23042109
CDE,2024,AZ,Gross,Actual,Mar,1578358152
CDE,2024,AZ,Gross,Actual,May,335862462
CDE,2024,AZ,Gross,Actual,Nov,268899939
CDE,2024,AZ,Gross,Actual,Oct,139908592
CDE,2024,AZ,Gross,Actual,Sep,1537079195
CDE,2024,AZ,Gross,Budget,Apr,33988610
CDE,2024,AZ,Gross,Budget,Aug,159486655
CDE,2024,AZ,Gross,Budget,Dec,3618653
CDE,2024,AZ,Gross,Budget,Feb,39386939
CDE,2024,AZ,Gross,Budget,Jan,676827670
CDE,2024,AZ,Gross,Budget,Jul,93795884
CDE,2024,AZ,Gross,Budget,Jun,436532379
CDE,2024,AZ,Gross,Budget,Mar,1853621067
CDE,2024,AZ,Gross,Budget,May,1047014867
CDE,2024,AZ,Gross,Budget,Nov,918121142
CDE,2024,AZ,Gross,Budget,Oct,57398331
CDE,2024,AZ,Gross,Budget,Sep,2108578919
CDE,2024,AZ,Gross,Forecast,Apr,148040692
CDE,2024,AZ,Gross,Forecast,Aug,140161784
CDE,2024,AZ,Gross,Forecast,Dec,115541195
CDE,2024,AZ,Gross,Forecast,Feb,73700510
CDE,2024,AZ,Gross,Forecast,Jan,735165159
CDE,2024,AZ,Gross,Forecast,Jul,249961810
CDE,2024,AZ,Gross,Forecast,Jun,108476159
CDE,2024,AZ,Gross,Forecast,Mar,602585317
CDE,2024,AZ,Gross,Forecast,May,821035493
CDE,2024,AZ,Gross,Forecast,Nov,816094639
CDE,2024,AZ,Gross,Forecast,Oct,89713043
